record_type,metric_family,metric_key,metric_label,value,lower_is_better,tooltip_id,synth_to_val,synth_to_hold,hold_to_val,abs_gap_to_hold_val,relative_gap_to_hold_val,generalization_shift,risk_level,description,status
run_info,,run_dir,Run directory,outputs/save_data/ryc/tht_tripgen_20260212_234749,,,,,,,,,,,ok
metrics_summary,od,od_jsd,OD JSD,,True,od_jsd,0.013528526,0.0118150062,0.0090266553,0.0045018707000000005,0.498730764649892,0.0017135198000000004,high,Distribution mismatch between OD marginals.,
metrics_summary,od,od_chi2,OD Chi²,,True,od_chi2,37150.658811477,19318.3398390193,19951.7909572768,17198.867854200198,0.8620212536823638,17832.3189724577,high,OD chi-square divergence for synthetic vs real.,
metrics_summary,od,od_coverage_real,OD coverage (real),,False,od_coverage_real,0.6656170441,0.6817080394,0.6291529805,0.036464063599999985,0.05795738831439897,-0.01609099530000002,low,Real OD support coverage (higher is better).,
metrics_summary,od,od_coverage_synth,OD coverage (synth),,False,od_coverage_synth,0.6039513678,0.6260198784,0.7827951226,0.17884375479999992,0.2284681516741989,-0.022068510599999924,medium,Synthetic OD support coverage (higher is better).,
metrics_summary,od,od_unique_real,OD unique modes (real),,False,od_unique_real,14926.0,18571.0,18571.0,3645.0,0.19627376016369608,-3645.0,medium,Unique OD modes observed in the real distribution.,
metrics_summary,od,od_unique_synth,OD unique modes (synth),,False,od_unique_synth,16450.0,20223.0,14926.0,1524.0,0.10210371164411094,-3773.0,medium,Unique OD modes generated by synthetic samples.,
metrics_summary,joint,joint_jsd,Joint JSD,,True,joint_jsd,0.164714691,0.1289368976,0.1545052644,0.010209426599999988,0.06607817953418542,0.03577779340000001,low,Joint OD+time distribution mismatch.,
metrics_summary,joint,joint_chi2,Joint Chi²,,True,joint_chi2,461513.5660063509,229925.1439663573,381467.5203130578,80046.0456932931,0.2098371196258123,231588.4220399936,medium,Joint OD+time chi-square divergence.,
metrics_summary,joint,joint_coverage_real,Joint coverage (real),,False,joint_coverage_real,0.605018725,0.6214822173,0.5438644769,0.06115424810000003,0.11244390964560906,-0.016463492299999993,medium,Real joint support coverage (higher is better).,
metrics_summary,joint,joint_coverage_synth,Joint coverage (synth),,False,joint_coverage_synth,0.5923404855,0.6186524759,0.6857965004,0.0934560149,0.13627368300288864,-0.026311990400000096,medium,Synthetic joint support coverage (higher is better).,
metrics_summary,joint,joint_unique_real,Joint unique modes (real),,False,joint_unique_real,236315.0,297986.0,297986.0,61671.0,0.2069593873537683,-61671.0,medium,Unique OD+time mode count for real data.,
metrics_summary,joint,joint_unique_synth,Joint unique modes (synth),,False,joint_unique_synth,241373.0,299349.0,236315.0,5058.0,0.02140363497873601,-57976.0,low,Unique OD+time mode count for synthetic data.,
metrics_summary,joint,joint_mode_dropping_ratio,Joint mode dropping ratio,,True,joint_mode_dropping_ratio,0.394981275,0.3785177827,0.4561355231,0.061154248099999975,0.13407034752387162,0.016463492299999993,medium,Portion of real joint modes that disappear in synthetic.,
metrics_summary,joint,joint_invalid_ratio,Joint invalid ratio,,True,joint_invalid_ratio,0.4076595145,0.3813475241,0.3142034996,0.0934560149,0.29743785482649027,0.026311990399999985,high,Portion of invalid OD pairs in synthetic samples.,
metrics_summary,passenger,passenger_count_jsd,passenger_count JSD,,True,passenger_count_jsd,5.44702e-05,0.0001133833,,,,,unknown,Distribution mismatch for passenger_count between real and synthetic.,
